name,city,address,website,email,phone,fax,employees,year_founded,net_assets,net_assets_currency,net_assets_year
2 E mechatronic GmbH & Co. KG,Kirchheim,Maria-Merian-Str. 29 73230 Kirchheim Deutschland,www.2e-mechatronic.de,info@2e-mechatronic.de,+49702193010,,,,,,
3D Global Solutions GmbH,Aalen,Robert-Bosch-Str. 33 73431 Aalen Deutschland,www.3dgs.eu,info@3dgs.eu,+4973615282990,,,,,,
3D Systems GmbH Deutschland-Zentrale,Mörfelden-Walldorf,Waldeckerstr. 13 64546 Mörfelden-Walldorf Deutschland,www.3dsystems.com,info@3dsystems-europe.com,+4961513570,+4961513248111,,,,,
3D-Laserdruck GbR,Reutlingen,Lembergstr. 54 72766 Reutlingen Deutschland,www.3d-laserdruck.de,info@3d-laserdruck.de,+497121147890,+4971211478989,,,,,
3Dconnexion GmbH,München,Clarita-Bernhard-Str. 18 81249 München Deutschland,www.3dconnexion.de,info@3dconnexion.de,+498989745420,+4989897454250,,,,,
3P INSTRUMENTS GmbH & Co. KG,Odelzhausen,Rudolf-Diesel-Str. 12 85235 Odelzhausen Deutschland,www.3p-instruments.com,info@3P-instruments.com,+49813493240,+498134932425,,,,,
3plusplus GmbH,Suhl,Pfütschbergstr. 16 98527 Suhl Deutschland,www.3plusplus.com,info@3plusplus.com,+4936814520,+4936814529999,,,,,
3YOURMIND GmbH,Berlin,Mehringdamm 55 10961 Berlin Deutschland,www.3yourmind.com,info@3yourmind.com,+493055578748,,,,,,
A-Drive Technology GmbH,Taunusstein,Ziegelhüttenweg 4 65232 Taunusstein Deutschland,www.a-drive.de,info@a-drive.de,+49612897550,+496128975555,,,,,
A. Mannesmann Maschinenfabrik GmbH & Co. KG,Remscheid,Bliedinghauser Str. 27 42859 Remscheid Deutschland,www.amannesmann.de,mail@amannesmann.de,+4921919890,+492191989201,,,,,
A. Steinmeier GmbH & Co.KG,Wangen,Simoniusstr. 22 88239 Wangen Deutschland,www.bfz-steinmeier.de,info@bfz-steinmeier.de,+4975226898,+4975229308252,,,,,
a.b.jödden gmbh,Krefeld,Von-Beckerath-Platz 4 47799 Krefeld Deutschland,www.abjoedden.de,info@abjoedden.de,+4921515162590,+49215151625920,,,,,
A.B.S. Silo- und Förderanlagen GmbH,Osterburken,Industriepark 100 74706 Osterburken Deutschland,www.abs-silos.de,info@abs-silos.de,+49629164220,+496291642250,,,,,
A.I.D.A GmbH,Bochum,Am Geraden Weg 1 44805 Bochum Deutschland,www.aidagmbh.de,info@aidagmbh.de,+49234298770,+492342987717,,,,,
A.S.T. Leistungselektronik GmbH,Berlin,Brook-Taylor-Str. 10 12489 Berlin Deutschland,www.astle.de,le@ast.de,+493063925700,+493063925709,,,,,
A.T. Kearney GmbH,Düsseldorf,Dreischeibenhaus 1 40211 Düsseldorf Deutschland,www.atkearney.de,,+4921113770,+492111377931,,,,,
A1 Digital Deutschland GmbH,München,A1 Digital International GmbH Lassallestr. 9 1020 WIEN Österreich,www.a1.digital,info@a1.digital,+435066445881,,,,,,
A1 Digital International GmbH,WIEN,Lassallestr. 9 1020 WIEN Österreich,www.a1.digital,info@a1.digital,+435066445881,,,,,,
a3Ds GmbH automated 3D scanning,Braunschweig,Volkmaroder Str. 39 38104 Braunschweig Deutschland,www.a3ds.de,info@a3ds.de,+4953138999730,+4953138999729,,,,,
AAT ASTON GMBH,Nürnberg,Konradstr. 7 90429 Nürnberg Deutschland,www.aston.de,info@aston.de,+4991132660,+499113266299,,,,,
AB Elektronik GmbH,Werne,Feldmark 50 59368 Werne Deutschland,www.abelektronik.de,info@abelektronik.de,+4923897880,+492389788190,,,,,
Abacus Maschinenbau GmbH,Osnabrück,Eduard-Pestel-Str. 12 49080 Osnabrück Deutschland,www.abacus-gmbh.de,info@abacus-gmbh.de,+49541990210,+49541990210,,,,,
