name,city,address,website,email,phone,fax,employees,year_founded,net_assets
Beschaffung aktuell,,Beschaffung aktuell,,,,,,,
2 E mechatronic GmbH & Co. KG,Kirchheim,2 E mechatronic GmbH & Co. KG Maria-Merian-Str. 29 73230 Kirchheim Deutschland,www.2e-mechatronic.de,info@2e-mechatronic.de,+49 7021-93010,,,,
3D Global Solutions GmbH,Aalen,3D Global Solutions GmbH Robert-Bosch-Str. 33 73431 Aalen Deutschland,3dgs.eu,info@3dgs.eu,+49 7361-528299-0,,,,
3D Systems GmbH Deutschland-Zentrale,Mörfelden-Walldorf,3D Systems GmbH Deutschland-Zentrale Waldeckerstr. 13 64546 Mörfelden-Walldorf Deutschland,www.3dsystems.com,info@3dsystems-europe.com,+49 61513570,+49 6151-3248-111,,,
3D-Laserdruck GbR,Reutlingen,3D-Laserdruck GbR Lembergstr. 54 72766 Reutlingen Deutschland,www.3d-laserdruck.de,info@3d-laserdruck.de,+49 7121 14789-0,+49 7121 147 89-89,,,
3Dconnexion GmbH,München,3Dconnexion GmbH Clarita-Bernhard-Str. 18 81249 München Deutschland,www.3dconnexion.de,info@3dconnexion.de,+49 89-89745420,+49 89 8974542-50,,,
3P INSTRUMENTS GmbH & Co. KG,Odelzhausen,3P INSTRUMENTS GmbH & Co. KG Rudolf-Diesel-Str. 12 85235 Odelzhausen Deutschland,www.3p-instruments.com,info@3P-instruments.com,+49 8134-93240,+49 8134932425,,,
3plusplus GmbH,Suhl,3plusplus GmbH Pfütschbergstr. 16 98527 Suhl Deutschland,www.3plusplus.com,info@3plusplus.com,+49 3681 452-0,+49 3681 452 99-99,,,
3YOURMIND GmbH,Berlin,3YOURMIND GmbH Mehringdamm 55 10961 Berlin Deutschland,www.3yourmind.com,info@3yourmind.com,+49 30 55578748,,,,
A-Drive Technology GmbH,Taunusstein,A-Drive Technology GmbH Ziegelhüttenweg 4 65232 Taunusstein Deutschland,www.a-drive.de,info@a-drive.de,+49 6128-97550,+49 6128-9755-55,,,
A. Mannesmann Maschinenfabrik GmbH & Co. KG,Remscheid,A. Mannesmann Maschinenfabrik GmbH & Co. KG Bliedinghauser Str. 27 42859 Remscheid Deutschland,www.amannesmann.de,mail@amannesmann.de,+49 2191-9890,+49 2191989201,,,
A. Steinmeier GmbH & Co.KG,Wangen,A. Steinmeier GmbH & Co.KG Simoniusstr. 22 88239 Wangen Deutschland,www.bfz-steinmeier.de,info@bfz-steinmeier.de,+49 75226898,+49 75229308252,,,
a.b.jödden gmbh,Krefeld,a.b.jödden gmbh Von-Beckerath-Platz 4 47799 Krefeld Deutschland,www.abjoedden.de,info@abjoedden.de,+49 2151-5162590,+49 215151625920,,,
A.B.S. Silo- und Förderanlagen GmbH,Osterburken,A.B.S. Silo- und Förderanlagen GmbH Industriepark 100 74706 Osterburken Deutschland,www.abs-silos.de,info@abs-silos.de,+49 6291-64220,+49 6291642250,,,
A.I.D.A GmbH,Bochum,A.I.D.A GmbH Am Geraden Weg 1 44805 Bochum Deutschland,www.aidagmbh.de,info@aidagmbh.de,+49 234 / 298 77 0,+49 234 / 298 77 17,,,
A.S.T. Leistungselektronik GmbH,Berlin,A.S.T. Leistungselektronik GmbH Brook-Taylor-Str. 10 12489 Berlin Deutschland,www.astle.de,le@ast.de,+49 30-63925700,+49 30-63925709,,,
A.T. Kearney GmbH,Düsseldorf,A.T. Kearney GmbH Dreischeibenhaus 1 40211 Düsseldorf Deutschland,www.atkearney.de,,+49 211-13770,+49 2111377931,,,
A1 Digital Deutschland GmbH,München,A1 Digital International GmbH Lassallestr. 9 1020 WIEN Österreich,www.a1.digital,info@a1.digital,+43 50664 45881,,,,
A1 Digital International GmbH,WIEN,A1 Digital International GmbH Lassallestr. 9 1020 WIEN Österreich,www.a1.digital,info@a1.digital,+43 50664 45881,,,,
a3Ds GmbH automated 3D scanning,Braunschweig,a3Ds GmbH automated 3D scanning Volkmaroder Str. 39 38104 Braunschweig Deutschland,www.a3ds.de,info@a3ds.de,+49 531-389997-30,+49 531-389997-29,,,
AAT ASTON GMBH,Nürnberg,AAT ASTON GMBH Konradstr. 7 90429 Nürnberg Deutschland,www.aston.de,info@aston.de,+49 911-32660,+49 9113266299,,,
AB Elektronik GmbH,Werne,AB Elektronik GmbH Feldmark 50 59368 Werne Deutschland,www.abelektronik.de,info@abelektronik.de,+49 2389 7880,+49 2389 788190,,,
